date,open,high,low,close,volume
2022-01-01,100.59,101.82,98.8,101.19,1561339
2022-01-02,100.94,101.96,98.47,99.74,690237
2022-01-03,102.02,102.5,100.8,102.42,1356047
2022-01-04,105.16,105.45,103.22,103.36,929332
2022-01-05,103.82,107.59,102.78,105.62,1145275
2022-01-06,104.15,106.52,103.85,104.59,1765399
2022-01-07,107.78,107.79,106.06,107.54,1639929
2022-01-08,110.27,112.17,108.77,109.8,721373
2022-01-09,108.84,110.82,107.47,109.54,1906368
2022-01-10,111.11,112.85,109.89,109.98,1049844
2022-01-11,107.27,108.18,106.02,106.19,1345474
2022-01-12,107.98,109.01,104.39,105.82,871233
2022-01-13,107.77,108.75,106.82,106.96,1724744
2022-01-14,105.95,107.28,103.64,103.79,1168590
2022-01-15,99.5,101.11,99.48,100.83,1970801
2022-01-16,98.35,98.52,96.43,98.46,1750617
2022-01-17,96.56,97.96,95.09,97.35,533866
2022-01-18,95.66,98.44,94.96,97.03,1653976
2022-01-19,95.45,95.85,94.77,95.36,1887695
2022-01-20,92.39,93.74,91.04,91.74,935071
2022-01-21,96.23,98.17,93.61,95.16,1892277
2022-01-22,95.97,96.16,92.95,94.28,1686064
2022-01-23,97.64,98.98,94.42,94.79,1096804
2022-01-24,93.86,94.85,93.52,93.97,686987
2022-01-25,91.25,92.98,90.68,90.88,911274
2022-01-26,91.15,95.03,89.83,94.68,933934
2022-01-27,90.24,91.62,88.71,90.24,794746
2022-01-28,89.18,92.36,88.65,90.68,1737715
2022-01-29,91.13,93.02,88.39,88.44,658588
2022-01-30,89.89,91.26,89.25,89.41,1754311
2022-01-31,87.04,88.03,85.0,86.93,1810875
2022-02-01,89.5,92.57,88.91,91.33,623950
2022-02-02,92.54,95.48,91.0,93.75,829638
2022-02-03,88.96,90.12,87.71,88.97,1100517
2022-02-04,91.95,92.01,91.1,91.86,1653224
2022-02-05,86.68,89.43,86.27,87.57,538547
2022-02-06,88.09,90.04,87.85,88.66,1053083
2022-02-07,84.78,87.9,83.55,86.54,686368
2022-02-08,82.16,82.59,79.94,81.49,1045735
2022-02-09,82.06,85.64,80.77,84.32,1804766
2022-02-10,84.61,85.48,83.55,84.69,706402
2022-02-11,83.26,85.07,83.18,83.77,1800995
2022-02-12,83.96,84.94,82.02,84.73,1254105
2022-02-13,83.62,85.78,82.02,84.47,1349710
2022-02-14,81.05,83.16,80.47,81.16,1079365
2022-02-15,79.81,79.91,75.57,77.53,612782
2022-02-16,77.05,79.4,75.85,77.45,1539550
2022-02-17,78.76,80.86,77.59,80.04,1127220
2022-02-18,82.26,84.0,79.41,80.9,1511316
2022-02-19,77.78,79.64,76.16,78.07,943316
2022-02-20,77.35,79.41,76.04,78.28,1920589
2022-02-21,78.88,80.36,75.74,76.0,1859501
2022-02-22,76.09,78.11,75.42,76.36,1734915
2022-02-23,78.38,79.19,75.95,77.81,975595
2022-02-24,79.33,80.48,78.88,79.82,1965744
2022-02-25,83.19,84.52,81.46,82.21,1647272
2022-02-26,81.2,82.82,79.42,80.28,550939
2022-02-27,78.58,80.81,77.7,79.29,641521
2022-02-28,80.46,82.06,78.19,79.42,1373093
2022-03-01,82.09,82.96,77.89,79.78,1883674
2022-03-02,81.85,83.49,80.43,80.91,1309178
2022-03-03,79.15,80.56,78.9,80.32,1083098
2022-03-04,78.59,79.67,77.78,78.17,1142650
2022-03-05,76.57,76.58,72.46,74.23,976513
2022-03-06,75.37,76.7,74.08,76.05,1694871
2022-03-07,78.66,81.63,78.09,80.9,965453
2022-03-08,77.66,80.45,76.03,79.66,1221037
2022-03-09,81.44,83.78,79.72,82.39,1813379
2022-03-10,83.15,83.93,80.77,82.46,1635092
2022-03-11,82.64,83.54,79.33,81.17,1623143
2022-03-12,81.94,83.28,81.43,82.8,626498
2022-03-13,86.57,87.31,82.91,84.42,1202098
2022-03-14,83.49,85.42,82.57,84.96,1521469
2022-03-15,86.29,87.68,84.61,87.53,964894
2022-03-16,82.7,83.91,80.87,82.32,784154
2022-03-17,84.79,86.12,82.54,84.09,1295219
2022-03-18,84.54,86.04,83.23,84.8,639544
2022-03-19,81.91,84.43,81.55,83.5,746183
2022-03-20,84.07,86.18,82.98,85.42,1178743
2022-03-21,78.88,81.02,76.91,79.29,1872429
2022-03-22,80.42,81.45,77.68,79.56,963001
2022-03-23,80.83,81.79,79.93,80.02,1583094
2022-03-24,82.48,84.91,82.15,84.86,553909
2022-03-25,81.87,83.26,81.6,82.58,1224984
2022-03-26,79.7,82.55,78.25,81.79,1470834
2022-03-27,79.7,80.49,76.64,78.27,1015693
2022-03-28,82.55,83.71,81.43,81.86,1039570
2022-03-29,81.26,84.2,80.25,83.14,739017
2022-03-30,81.69,82.91,79.59,81.27,914994
2022-03-31,81.68,84.81,80.22,83.28,1441768
2022-04-01,81.62,83.52,80.53,81.89,952891
2022-04-02,84.24,87.19,83.06,85.76,1576941
2022-04-03,81.91,87.15,80.89,85.24,965982
2022-04-04,81.73,81.96,81.14,81.92,941416
2022-04-05,80.3,81.45,79.17,81.06,773146
2022-04-06,80.54,80.56,78.65,80.03,1824667
2022-04-07,79.2,82.04,77.46,80.75,1758870
2022-04-08,78.99,80.96,77.72,79.17,1664795
2022-04-09,79.91,80.4,77.76,79.28,1889330
2022-04-10,79.12,80.97,78.63,78.95,1338574
2022-04-11,76.18,76.3,74.13,75.06,1080595
2022-04-12,76.17,78.04,74.62,74.64,1684141
2022-04-13,75.63,76.33,73.38,73.87,1279383
2022-04-14,72.74,72.94,71.05,72.5,812229
2022-04-15,72.37,73.88,70.39,72.91,1058516
2022-04-16,73.48,74.5,73.28,73.99,1235036
2022-04-17,75.22,79.65,74.42,79.08,1973447
2022-04-18,76.36,77.49,74.76,76.88,1067760
2022-04-19,79.76,81.36,78.97,79.38,1335869
2022-04-20,79.89,80.97,76.92,78.03,1466920
2022-04-21,74.16,74.98,72.69,74.35,1346143
2022-04-22,74.93,76.25,73.7,75.03,1686464
2022-04-23,74.78,76.22,72.97,73.35,577175
2022-04-24,82.48,83.02,79.07,79.78,1088595
2022-04-25,80.13,80.96,77.61,79.18,1857453
2022-04-26,79.49,80.35,78.38,80.11,1414634
2022-04-27,78.59,80.2,78.58,79.84,595028
2022-04-28,75.6,81.03,74.08,79.67,1690888
2022-04-29,79.7,80.06,78.79,78.86,991450
2022-04-30,80.24,81.52,78.75,80.47,1641069
2022-05-01,81.16,83.38,80.75,81.96,625149
2022-05-02,80.12,80.42,78.2,80.21,1253704
2022-05-03,82.49,84.07,81.75,82.93,1751011
2022-05-04,82.45,82.96,81.3,81.95,663834
2022-05-05,82.82,85.28,82.52,83.36,770403
2022-05-06,86.31,87.28,85.14,85.75,1729787
2022-05-07,85.82,87.43,81.75,83.51,1415207
2022-05-08,83.28,84.78,81.29,83.68,1825569
2022-05-09,82.54,82.94,81.81,82.85,1892488
2022-05-10,83.92,85.19,82.13,83.03,1916828
2022-05-11,79.84,81.74,78.06,79.5,817013
2022-05-12,78.4,79.6,76.15,77.92,1413320
2022-05-13,77.12,80.49,75.93,78.86,1611671
2022-05-14,77.38,81.82,76.6,80.05,1666462
2022-05-15,75.03,76.26,74.21,75.8,1357342
2022-05-16,80.44,80.87,77.74,79.13,785711
2022-05-17,79.86,81.08,78.23,78.24,1583868
2022-05-18,75.91,78.46,74.67,77.64,1623389
2022-05-19,79.5,81.27,78.79,79.59,1121424
2022-05-20,75.82,80.28,74.23,78.48,1075919
2022-05-21,76.44,77.46,76.25,76.75,509885
2022-05-22,78.95,79.42,77.57,78.74,1733954
2022-05-23,75.46,77.02,73.98,74.95,1352746
2022-05-24,76.74,77.29,74.68,75.96,1875807
2022-05-25,76.38,78.83,76.25,77.18,922381
2022-05-26,79.05,81.42,77.89,80.57,1476433
2022-05-27,76.25,77.59,74.66,75.79,960244
2022-05-28,73.43,74.08,72.3,73.89,1074100
2022-05-29,73.8,75.94,72.59,74.69,1205860
2022-05-30,74.73,77.39,73.37,76.49,1869363
2022-05-31,76.56,79.5,74.95,78.33,544900
2022-06-01,77.0,77.33,75.43,75.96,1984738
2022-06-02,74.16,76.12,72.51,74.65,901067
2022-06-03,75.7,78.37,74.7,76.64,1302720
2022-06-04,76.94,77.37,76.71,76.87,1621268
2022-06-05,73.09,76.8,72.97,76.6,960796
2022-06-06,79.03,79.12,78.36,79.07,1949160
2022-06-07,78.77,80.36,77.2,79.08,1594979
2022-06-08,77.62,78.86,76.21,77.64,1295600
2022-06-09,77.6,80.57,76.03,79.48,1504001
2022-06-10,74.61,77.7,73.58,77.24,812023
2022-06-11,76.36,79.28,75.48,78.5,1608447
2022-06-12,80.36,82.57,80.06,81.38,1529127
2022-06-13,78.93,80.83,78.27,79.84,991862
2022-06-14,79.69,83.95,78.82,81.98,1580750
2022-06-15,82.06,82.34,81.88,82.07,1255111
2022-06-16,81.4,84.29,80.96,82.9,723563
2022-06-17,86.79,87.81,85.6,87.0,637653
2022-06-18,85.16,88.43,83.68,87.57,610155
2022-06-19,84.21,85.64,82.05,84.04,833997
2022-06-20,83.13,84.83,81.26,83.45,1860398
2022-06-21,80.59,83.04,79.3,81.06,1676371
2022-06-22,80.91,81.58,80.07,81.32,588668
2022-06-23,82.98,83.46,81.71,83.26,1237685
2022-06-24,81.95,84.17,80.38,82.72,1169927
2022-06-25,85.02,86.18,83.99,84.23,1479448
2022-06-26,83.08,83.63,82.03,82.85,1053091
2022-06-27,87.65,88.02,85.97,87.86,1173590
2022-06-28,88.03,88.2,86.47,87.23,1173222
2022-06-29,89.56,95.98,88.41,94.19,1985147
2022-06-30,92.48,93.36,91.31,92.97,1448763
2022-07-01,92.14,92.79,91.42,91.79,1778723
2022-07-02,89.22,90.13,88.5,89.67,1504949
2022-07-03,90.76,92.68,90.09,91.97,1055083
2022-07-04,89.34,89.99,89.29,89.85,770914
2022-07-05,91.46,92.69,91.41,91.65,1941985
2022-07-06,92.16,93.06,90.5,92.92,862455
2022-07-07,93.34,94.94,91.81,92.36,779713
2022-07-08,90.73,91.2,89.0,90.03,1534586
2022-07-09,87.79,88.87,87.04,87.64,1852790
2022-07-10,86.14,89.39,84.26,87.63,1503429
2022-07-11,87.78,89.08,86.72,87.24,1064485
2022-07-12,88.26,89.89,87.4,88.83,657584
2022-07-13,86.6,87.25,83.76,85.5,1424220
2022-07-14,86.13,88.41,84.45,87.75,1897515
2022-07-15,87.61,88.95,85.43,85.8,791077
2022-07-16,87.63,89.62,83.39,84.99,1524729
2022-07-17,86.73,88.06,85.32,86.24,1159738
2022-07-18,85.65,88.66,84.69,87.54,874226
2022-07-19,84.89,86.35,83.36,83.63,1965792
2022-07-20,84.0,84.93,83.69,83.85,1659608
2022-07-21,83.49,87.53,82.03,87.41,1755516
2022-07-22,86.69,87.81,85.25,86.25,1853324
2022-07-23,87.93,89.85,86.73,87.6,961552
2022-07-24,86.7,87.84,85.24,87.49,1775303
2022-07-25,85.19,86.57,83.14,84.67,573869
2022-07-26,87.88,88.28,84.86,85.18,1369807
2022-07-27,87.56,89.01,86.34,87.94,1218675
2022-07-28,88.04,88.7,87.77,88.5,702416
2022-07-29,96.79,97.69,93.9,95.4,1078533
2022-07-30,94.9,97.34,93.58,95.83,1067344
2022-07-31,99.61,100.95,97.7,100.25,1959501
2022-08-01,102.06,103.39,101.8,101.94,1275024
2022-08-02,101.11,104.08,101.0,102.49,1869277
2022-08-03,103.1,105.66,102.54,103.8,1828263
2022-08-04,103.81,104.28,101.88,102.41,930634
2022-08-05,101.51,102.31,99.91,100.4,1249971
2022-08-06,102.09,102.39,98.95,100.76,996507
2022-08-07,102.76,104.74,99.94,100.44,1531008
2022-08-08,100.83,102.75,100.29,100.89,1958516
2022-08-09,105.53,106.61,103.52,105.04,765972
2022-08-10,101.08,103.58,100.19,101.9,1665232
2022-08-11,102.07,103.11,100.11,101.67,1565663
2022-08-12,100.52,102.38,100.39,101.14,1842057
2022-08-13,97.89,98.84,96.92,98.67,636554
2022-08-14,101.0,103.55,100.93,102.04,985757
2022-08-15,100.58,101.65,100.45,101.4,682024
2022-08-16,99.38,101.03,97.54,99.36,1685111
2022-08-17,97.8,99.6,97.52,98.04,1267524
2022-08-18,99.86,101.28,98.21,99.27,1941296
2022-08-19,96.86,98.08,96.03,98.01,795767
2022-08-20,97.53,99.73,96.83,99.13,535634
2022-08-21,96.91,98.61,95.11,98.09,876742
2022-08-22,96.14,98.02,96.1,97.3,811478
2022-08-23,101.25,101.43,99.46,100.79,1355080
2022-08-24,102.9,105.46,100.97,103.58,1046495
